State,2023,2022,2021,2020,2019,2018,2017,2016,2015,,,,,,,,,,,
Pennsylvania (PA),"12,961,683","12,972,091","13,013,614","12,995,477","12,798,883","12,809,107","12,794,679","12,788,468","12,789,838",,,,,,,,,,,
Rhode Island (RI),"1,095,962","1,093,842","1,097,092","1,096,444","1,058,158","1,059,338","1,056,554","1,057,816","1,056,886",,,,,,,,,,,
South Carolina (SC),"5,373,555","5,282,955","5,193,848","5,132,151","5,157,702","5,091,702","5,027,102","4,963,031","4,896,006",,,,,,,,,,,
South Dakota (SD),"919,318","909,869","896,299","887,852","887,127","879,386","873,732","863,693","854,663",,,,,,,,,,,
Tennessee (TN),"7,126,489","7,048,976","6,963,709","6,926,091","6,830,325","6,778,180","6,714,748","6,651,277","6,595,354",,,,,,,,,,,
Texas (TX),"30,503,301","30,029,848","29,561,286","29,234,361","28,986,794","28,624,564","28,291,024","27,914,064","27,468,531",,,,,,,,,,,
Utah (UT),"3,417,734","3,381,236","3,339,284","3,283,982","3,203,383","3,155,153","3,103,540","3,044,241","2,983,626",,,,,,,,,,,
Vermont (VT),"647,464","647,110","647,093","642,936","624,046","624,802","625,132","624,366","625,810",,,,,,,,,,,
Virginia (VA),"8,715,698","8,679,099","8,657,348","8,637,193","8,556,642","8,510,920","8,471,011","8,417,651","8,367,303",,,,,,,,,,,
Washington (WA),"7,812,880","7,784,477","7,741,433","7,724,566","7,614,024","7,526,793","7,427,951","7,299,961","7,167,287",,,,,,,,,,,
West Virginia (WV),"1,770,071","1,774,035","1,785,249","1,791,562","1,795,263","1,805,953","1,818,683","1,832,435","1,843,332",,,,,,,,,,,
Wisconsin (WI),"5,910,955","5,890,543","5,879,978","5,896,700","5,824,581","5,809,319","5,793,147","5,775,170","5,762,927",,,,,,,,,,,
Wyoming (WY),"584,057","581,629","579,548","577,664","580,116","579,054","579,994","585,243","586,389",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
